year,open,high,low,close,shares_traded,trades,turnover,delivery_qty,delivery_percent,high_low_spread,close_open_spread,bank,bank_type,yearly_return_pct,volatility_index,liquidity_ratio,avg_trade_value,bullish_flag,dematflagexist
2016,450,638,366.65,450,209870914,2653122,99108655633,102877836,49.02,271.35,0,Axis Bank,Private,0,271.35,472.23626058539963,37355.483702973324,FALSE,0
2017,451,566,424.6,562.4,156666716,1366994,79234014127,81174867,51.81,141.4,111.4,Axis Bank,Private,24.70066518847006,141.39999999999998,505.74886708546313,57962.22523800397,TRUE,0
2018,562.4,676.9,477.5,619.8,144365944,1326917,83416764866,48118800,33.33,199.4,57.4,Axis Bank,Private,10.206258890469414,199.39999999999998,577.8147016861539,62865.096208730465,TRUE,0
2019,621.2,826.55,604.65,754,108849074,1485305,78447256470,35816030,32.9,221.9,132.8,Axis Bank,Private,21.37797810688988,221.89999999999998,720.6975088276819,52815.58768737734,TRUE,0
2020,755,760.6,285,620.35,231958550,3764716,1.05551E+11,58966198,25.42,475.6,-134.65,Axis Bank,Private,-17.83443709,475.6,455.04250651678933,28036.909025806992,FALSE,0
2021,621.9,866.6,617,678.55,147231268,2357189,1.07478E+11,82182570,55.82,249.6,56.65,Axis Bank,Private,9.109181540440582,249.60000000000002,729.994392223804,45595.834699720726,TRUE,0
2022,680,958.9,618.1,933.85,138945078,2140821,1.10267E+11,96473564,69.43,340.8,253.85,Axis Bank,Private,37.33088235294118,340.79999999999995,793.6013393723814,51506.87516611618,TRUE,0
2023,930.05,1151.5,814.25,1102.95,47746294,1613751,46356049531,18815997,39.41,337.25,172.9,Axis Bank,Private,18.590398365679274,337.25,970.882672715918,28725.651932051474,TRUE,0
2024,1092.05,1339.55,995.95,1065.25,117891197,2290635,1.32424E+11,70552371,59.85,343.6,-26.8,Axis Bank,Private,-2.454100087,343.5999999999999,1123.2730124879467,57811.043662565186,FALSE,0
2025,1066.95,1304,934,1230.55,68467863,1767984,75981247475,42869941,62.61,370,163.6,Axis Bank,Private,15.333427058437593,370,1109.7359278615136,42976.20763253514,TRUE,0
2016,1084.9,1318.2,928.8,1204.2,28191280,576769,32402569817,15446011,54.79,389.4,119.3,HDFC Bank,Private,10.996405198635815,389.4000000000001,1149.3827104338648,56179.45801005255,TRUE,0
2017,1205,1905,1181.75,1873.55,45009684,599601,69091363465,21308487,47.34,723.25,668.55,HDFC Bank,Private,55.481327800829874,723.25,1535.0332933908178,115228.89965994052,TRUE,0
2018,1873,2219.05,1830,2122.45,31417384,745292,62554741324,17708814,56.37,389.05,249.45,HDFC Bank,Private,13.318206086492248,389.0500000000002,1991.0868875651772,83933.1984296088,TRUE,0
2019,2123,2502.9,1084.4,1271.8,49179082,1341070,92628888355,23167523,47.11,1418.5,-851.2,HDFC Bank,Private,-40.09420631,1418.5,1883.5017773410248,69070.88247071368,FALSE,0
2020,1275,1464,738.9,1436.75,177000282,4694608,1.90749E+11,79388778,44.85,725.1,161.75,HDFC Bank,Private,12.686274509803921,725.1,1077.676249125976,40631.50746558605,TRUE,0
2021,1438,1724.3,1342,1479.8,75706550,2933549,1.14465E+11,41684361,55.06,382.3,41.8,HDFC Bank,Private,2.9068150208623056,382.29999999999995,1511.956363088795,39019.290286270996,TRUE,0
