Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2016,450.00,638.00,366.65,450.00,209870914,2653122,99108655633.00,102877836,49.02,271.35,0.00,
2017,451.00,566.00,424.60,562.40,156666716,1366994,79234014127.00,81174867,51.81,141.40,111.40,
2018,562.40,676.90,477.50,619.80,144365944,1326917,83416764866.00,48118800,33.33,199.40,57.40,
2019,621.20,826.55,604.65,754.00,108849074,1485305,78447256470.00,35816030,32.90,221.90,132.80,
2020,755.00,760.60,285.00,620.35,231958550,3764716,105551313814.00,58966198,25.42,475.60,-134.65,
2021,621.90,866.60,617.00,678.55,147231268,2357189,107478032582.00,82182570,55.82,249.60,56.65,
2022,680.00,958.90,618.10,933.85,138945078,2140821,110266917879.00,96473564,69.43,340.80,253.85,
2023,930.05,1151.50,814.25,1102.95,47746294,1613751,46356049531.00,18815997,39.41,337.25,172.90,
2024,1092.05,1339.55,995.95,1065.25,117891197,2290635,132424040059.00,70552371,59.85,343.60,-26.80,
2025,1066.95,1304.00,934.00,1230.55,68467863,1767984,75981247475.00,42869941,62.61,370.00,163.60,
