Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2016,115.00,128.75,78.60,107.20,166765728,1100736,17197740138.00,29554182,17.72,50.15,-7.80,
2017,107.75,216.70,105.90,169.70,131884661,763451,20528952269.00,20526637,15.56,110.80,61.95,
2018,178.00,182.75,73.30,104.05,207675176,807471,20457350803.00,25510797,12.28,109.45,-73.95,
2019,104.50,110.05,57.45,70.45,219695439,623505,18193866187.00,26318495,11.98,52.60,-34.05,
2020,70.50,71.70,30.45,48.65,175503874,414626,7643207139.00,28280108,16.11,41.25,-21.85,
2021,49.00,101.45,47.95,51.35,200483919,889963,13608065767.00,62299875,31.07,53.50,2.35,
2022,52.05,103.50,40.40,88.20,207576434,919930,14159694242.00,68184442,32.85,63.10,36.15,
2023,88.65,120.95,66.05,112.60,305584707,1439141,27586807814.00,96634500,31.62,54.90,23.95,
2024,112.85,158.00,96.00,101.95,263436805,2108585,33711271710.00,111036366,42.15,62.00,-10.90,
2025,102.70,151.35,90.00,142.25,119615561,844380,14045510123.00,59887885,50.07,61.35,39.55,
