Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2016,32.00,37.40,25.00,28.60,7651753,60282,238827185.00,3482891,45.52,12.40,-3.40,
2017,29.00,40.70,20.80,22.85,16291342,79158,495414102.00,7554224,46.37,19.90,-6.15,
2018,23.25,24.75,10.73,14.89,32099317,77838,494827340.00,14285912,44.51,14.02,-8.36,
2019,15.33,20.00,8.67,12.96,29585906,78860,436017126.00,12609476,42.62,11.33,-2.37,
2020,12.87,16.00,7.71,13.04,79942707,271210,990523611.00,43483700,54.39,8.29,0.17,
2021,13.11,31.95,13.10,19.20,342378981,688597,7697867291.00,149486635,43.66,18.85,6.09,
2022,19.20,36.25,15.00,30.50,366918352,688899,9306477343.00,135803882,37.01,21.25,11.30,
2023,30.70,51.90,22.80,45.14,627128839,1247154,23570325353.00,217543193,34.69,29.10,14.44,
2024,45.15,73.50,45.09,52.20,613739356,1974374,36416466785.00,193835276,31.58,28.41,7.05,
2025,52.08,61.55,38.11,56.36,278783558,1010354,15109240090.00,123752415,44.39,23.44,4.28,
