Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2016,1084.90,1318.20,928.80,1204.20,28191280,576769,32402569817.00,15446011,54.79,389.40,119.30,
2017,1205.00,1905.00,1181.75,1873.55,45009684,599601,69091363465.00,21308487,47.34,723.25,668.55,
2018,1873.00,2219.05,1830.00,2122.45,31417384,745292,62554741324.00,17708814,56.37,389.05,249.45,
2019,2123.00,2502.90,1084.40,1271.80,49179082,1341070,92628888355.00,23167523,47.11,1418.50,-851.20,
2020,1275.00,1464.00,738.90,1436.75,177000282,4694608,190749369125.00,79388778,44.85,725.10,161.75,
2021,1438.00,1724.30,1342.00,1479.80,75706550,2933549,114464795285.00,41684361,55.06,382.30,41.80,
2022,1479.80,1721.85,1271.75,1627.30,88149147,3632062,130074673890.00,54589105,61.93,450.10,147.50,
2023,1622.05,1757.80,1460.55,1709.65,91197626,3956535,145940578840.00,46977985,51.51,297.25,87.60,
2024,1709.65,1880.00,1363.45,1772.45,181263697,6076172,287470116799.00,85976529,47.43,516.55,62.80,
2025,1775.00,2036.30,939.05,985.95,131350148,3471159,191547203424.00,70708526,53.83,1097.25,-789.05,
