Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2016,261.00,298.20,180.80,255.30,377208305,2796917,91485344486.00,149250300,39.57,117.40,-5.70,
2017,255.70,332.30,248.30,314.00,370420782,1794663,107593361662.00,209828143,56.65,84.00,58.30,
2018,312.00,375.25,256.50,360.00,340553516,1727045,106770580370.00,150408918,44.17,118.75,48.00,
2019,362.00,552.40,336.25,538.75,262811427,2066111,107922902248.00,121549917,46.25,216.15,176.75,
2020,539.20,550.45,269.00,534.80,405379703,4782406,163724666425.00,166773914,41.14,281.45,-4.40,
2021,534.80,859.70,512.10,740.25,206402008,2991872,134864806634.00,118510033,57.42,347.60,205.45,
2022,743.90,958.00,642.00,890.95,150468027,2786234,121942309948.00,107184580,71.23,316.00,147.05,
2023,892.30,1042.65,796.10,996.45,89883604,2433689,83562525164.00,48320424,53.76,246.55,104.15,
2024,994.65,1361.35,970.05,1282.00,140000786,3367373,161811768804.00,61323199,43.80,391.30,287.35,
2025,1280.35,1494.10,1187.00,1354.15,102657259,2483230,141342489199.00,55415017,53.98,307.10,73.80,
