Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2016,115.50,275.90,76.00,220.70,30762933,389580,6034925164.00,14902157,48.44,199.90,105.20,
2017,222.40,428.00,219.00,376.65,31935621,461209,10137511208.00,7619872,23.86,209.00,154.25,
2018,379.25,405.75,211.00,243.80,29291984,383977,8729707969.00,4436842,15.15,194.75,-135.45,
2019,244.25,292.35,100.60,100.85,26811654,364891,5619989427.00,4992953,18.62,191.75,-143.40,
2020,101.05,110.25,41.70,85.55,45293504,429451,3068009468.00,16681331,36.83,68.55,-15.50,
2021,86.10,194.80,85.10,139.50,76355519,887664,10574152604.00,26362506,34.53,109.70,53.40,
2022,139.00,306.00,130.15,284.75,38666177,666122,7254931193.00,13930080,36.03,175.85,145.75,
2023,287.90,462.75,253.35,420.80,24086846,495590,8422165436.00,9422347,39.12,209.40,132.90,
2024,422.50,626.35,408.95,530.95,23521886,774957,12288307732.00,9848035,41.87,217.40,108.45,
2025,532.00,898.60,474.05,781.25,14763837,622298,9658769883.00,6872808,46.55,424.55,249.25,
