Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2016,116.25,164.30,69.40,115.60,366815630,1912370,40739552125.00,74539713,20.32,94.90,-0.65,
2017,116.50,231.60,113.30,171.50,307480881,1489868,51161048147.00,65913265,21.44,118.30,55.00,
2018,172.50,197.60,58.65,78.10,622527398,2000659,58509231716.00,105603392,16.96,138.95,-94.40,
2019,78.45,99.90,55.70,64.35,451538765,1108400,34133573203.00,77399206,17.14,44.20,-14.10,
2020,64.75,66.95,26.30,33.05,586059252,2566403,20646929864.00,195809550,33.41,40.65,-31.70,
2021,33.30,47.60,31.50,37.30,1860017510,3828686,73530918952.00,525163710,28.23,16.10,4.00,
2022,37.30,62.05,28.05,56.45,1196250867,2277351,49813625027.00,378056933,31.60,34.00,19.15,
2023,56.70,97.70,44.41,95.79,1052173587,2404164,66206107097.00,295750684,28.11,53.29,39.09,
2024,96.10,142.90,92.35,102.75,632462149,3150552,73140875071.00,223543882,35.35,50.55,6.65,
2025,102.55,127.80,85.50,119.75,252696889,1524640,26677084439.00,125655519,49.73,42.30,17.20,
