Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,DematFlagExist
2016,225.00,288.50,148.30,249.75,637503241,4847806,137184190953.00,184558055,28.95,140.20,24.75,
2017,252.75,351.50,241.10,309.50,400759881,2548461,116103475062.00,161746015,40.36,110.40,56.75,
2018,310.00,334.80,232.00,295.65,405238167,2433975,112229967978.00,139618973,34.45,102.80,-14.35,
2019,297.00,373.70,244.35,333.70,370460710,2728457,112952597585.00,108396807,29.26,129.35,36.70,
2020,334.50,339.85,149.55,274.75,788821057,5859618,166908813856.00,208112237,26.38,190.30,-59.75,
2021,275.00,542.20,269.55,460.45,496863164,5700462,196495534017.00,154428996,31.08,272.65,185.45,
2022,461.00,629.65,425.00,613.20,185306662,3496001,95101596291.00,75298562,40.63,204.65,152.20,
2023,615.00,660.40,499.35,641.95,154572913,3470703,88971437612.00,64898290,41.99,161.05,26.95,
2024,642.70,912.10,600.70,795.05,218708021,5209924,171719382245.00,87457531,39.99,311.40,152.35,
2025,796.85,999.10,679.65,977.70,136254479,3658558,113141568478.00,66442564,48.76,319.45,180.85,
